UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
SXW	Pacific/Port_Moresby	Sauren
NDV	America/New_York	USN Heliport
EAP	Europe/Zurich	EuroAirport Basel-Mulhouse-Freiburg Airport
NET	America/Nassau	New Bight
MSK	America/Nassau	Mastic Point
LYG	Asia/Shanghai	Lianyungang Airport
YIG	America/Vancouver	Big Bay Marina
ACI	Europe/Guernsey	Alderney Airport
ANT	Europe/Vienna	St Anton
APW	Pacific/Apia	Faleolo Airport
LYI	Asia/Shanghai	Linyi Airport
LHB	America/Nome	Lost Harbor Sea Port
MZS	Asia/Kuching	Mostyn
MDE	America/Bogota	Jose Maria Cordova International Airport
MDH	America/Chicago	Southern Illinois
YFL	America/Yellowknife	Fort Reliance
YEP	America/Vancouver	Estevan Point
JTN	America/Sao_Paulo	Antônio Ribeiro Nogueira Jr. State Airport
YGA	America/Montreal	Gagnon
MDK	Africa/Kinshasa	Mbandaka
LMV	Indian/Maldives	Madivaru Airport
LZC	America/Mexico_City	Lazaro Cardenas Airport
AQP	America/Lima	Rodriguez Ballon International Airport
NKI	America/Anchorage	Naukiti
YSV	America/Goose_Bay	Saglek
AST	America/Los_Angeles	Astoria
TYC	Asia/Shanghai	Taiyuan Yaocheng Airport
YTI	America/Vancouver	Triple Island
LZH	Asia/Shanghai	Liuzhou Airport
MEC	America/Guayaquil	Manta Airport
DZH	Asia/Shanghai	Dazhou Jinya Airport
EES	Africa/Cairo	Berenice International Airport
YHA	America/St_Johns	Port Hope Simpson
KFZ	Europe/Tirane	Kukës International Airport
JTA	America/Fortaleza	Pedro Teixeira Castelo Airport
KJB	Asia/Kolkata	Uyyalawada Narasimha Reddy Airport
YPF	America/Vancouver	Esquimalt
EHU	Asia/Shanghai	Ezhou Huahu Airport
FZL	Asia/Baku	Fuzuli International Airport
KXB	Asia/Makassar	Sangia Nibandera Airport
GDR	America/Sao_Paulo	Angra dos Reis Airport
HLJ	Asia/Shanghai	Beidahuang General Airport
HZU	Asia/Shanghai	Chengdu Huaizhou Airport
NGR	Pacific/Port_Moresby	Ningerum
MXQ	America/Sao_Paulo	Lorenzo Airport
AFK	Asia/Colombo	Ampara Kondavattavan Tank Airport
